"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 4 1 1 20.8 14 67 11 21 131
"2" 1 0 2 11.4 -1 56 22 82 144
"3" 2 1 3 24.5 18 88 11 53 111
"4" 2 0 2 17 10 40 7 96 262
"5" 3 1 1 36.8 33 49 11 76 160
"6" 3 1 1 34.9 29 40 6 85 191
"7" 4 1 3 19.8 13 100 6 3 47
"8" 3 1 2 31.1 26 79 43 36 115
"9" 2 0 1 32.1 27 65 15 171 178
"10" 3 0 2 30.2 25 74 0 191 314
"11" 2 1 1 22.7 16 42 26 54 168
"12" 1 1 2 13.3 2 61 20 52 105
"13" 1 1 2 19.8 13 44 17 19 71
"14" 3 0 1 32.1 28 79 13 81 117
"15" 1 1 2 12.3 2 52 15 71 107
"16" 3 0 2 23.6 17 68 15 119 248
"17" 1 0 1 15.1 6 76 9 40 98
"18" 1 0 2 19.8 13 82 11 129 239
"19" 3 1 1 37.7 35 52 9 30 112
"20" 4 1 1 24.5 18 37 24 61 252
"21" 3 1 1 38.6 32 32 6 92 141
"22" 3 1 1 35.8 30 46 7 75 97
"23" 1 0 2 14.2 6 57 7 20 70
"24" 1 1 1 9.5 -2 51 20 7 50
"25" 4 1 3 20.8 14 94 15 8 126
"26" 1 1 2 7.6 0 86 0 2 49
"27" 3 1 1 33.9 28 51 15 40 110
"28" 1 1 2 2.9 -8 42 6 6 40
"29" 3 1 2 26.4 20 64 11 41 98
"30" 4 1 1 16.1 7 50 15 40 128
"31" 2 0 2 18 11 71 13 180 271
"32" 1 1 2 8.6 -3 40 15 19 48
"33" 2 1 2 25.5 19 83 15 12 67
"34" 4 1 1 21.7 15 77 9 51 182
"35" 3 1 1 38.6 38 56 19 41 113
"36" 2 1 2 30.2 25 65 19 50 179
"37" 3 1 2 33.9 29 58 13 80 155
"38" 4 1 1 17 10 43 15 33 185
"39" 1 1 1 10.4 -1 52 15 4 95
"40" 4 1 1 15.1 5 42 17 25 164
"41" 2 1 2 26.4 20 81 9 39 145
"42" 1 1 2 8.6 -5 44 30 4 33
"43" 4 0 1 22.7 16 63 24 83 157
"44" 2 0 1 25.5 19 43 0 132 215
"45" 4 0 1 25.5 19 46 17 186 384
"46" 3 1 1 34.9 31 58 17 44 97
"47" 4 0 2 19.8 13 62 7 110 172
"48" 4 0 1 25.5 19 64 19 197 388
"49" 4 0 1 14.2 3 53 28 44 192
"50" 4 1 1 24.5 18 49 0 29 115
"51" 3 0 2 32.1 28 74 11 101 207
"52" 1 1 1 25.5 19 68 11 56 145
"53" 1 1 1 23.6 17 23 17 10 43
"54" 4 1 2 15.1 8 55 0 12 103
"55" 1 0 2 7.6 -2 86 7 1 62
"56" 2 1 1 24.5 18 77 0 34 167
"57" 3 0 1 32.1 27 58 19 189 437
"58" 1 1 2 6.7 -7 47 19 2 28
"59" 3 1 1 33.9 29 62 0 69 127
"60" 4 1 1 21.7 15 63 15 58 211
"61" 4 0 2 12.3 1 41 20 55 131
"62" 2 1 2 27.4 22 78 7 27 67
"63" 4 1 3 23.6 17 88 11 11 76
"64" 1 1 1 16.1 6 62 28 9 133
"65" 1 1 3 14.2 6 70 7 2 69
"66" 3 1 1 38.6 34 44 0 94 166
"67" 4 1 1 23.6 17 48 19 46 120
"68" 2 1 1 30.2 25 57 17 60 168
"69" 2 1 1 28.3 25 43 6 65 161
"70" 2 1 2 28.3 23 73 7 131 187
"71" 4 1 1 29.2 25 61 17 46 181
"72" 2 1 2 27.4 21 83 11 24 82
"73" 1 1 1 18 11 58 11 27 116
"74" 4 1 2 21.7 15 69 13 37 156
"75" 2 0 1 23.6 17 55 13 41 95
"76" 3 0 1 33 28 51 0 180 356
"77" 2 0 2 18 11 87 9 93 109
"78" 2 1 1 31.1 26 69 26 73 107
"79" 3 1 1 36.8 31 38 22 56 147
"80" 1 1 1 18 11 58 30 26 148
"81" 2 0 1 18.9 12 41 17 139 104
"82" 2 1 2 27.4 22 78 0 39 150
"83" 2 1 2 32.1 28 74 19 42 193
"84" 2 1 1 23.6 17 77 24 11 38
"85" 4 1 1 15.1 5 49 17 7 95
"86" 4 1 1 27.4 25 53 0 52 201
"87" 3 1 1 28.3 25 43 20 69 167
"88" 3 1 1 41.5 40 42 0 47 136
"89" 4 1 3 18 11 94 9 4 28
"90" 2 1 1 33 27 37 19 65 153
"91" 4 0 1 17 10 62 19 92 267
"92" 4 1 2 17 10 66 17 33 164
"93" 2 1 2 20.8 14 55 0 36 86
"94" 2 1 1 23.6 17 27 28 96 127
"95" 4 1 1 27.4 21 83 13 41 211
"96" 4 1 1 14.2 5 45 11 19 127
"97" 2 1 3 14.2 3 81 30 1 18
"98" 3 1 1 39.6 36 41 9 40 121
"99" 3 1 1 34.9 28 35 17 59 128
"100" 3 1 1 40.5 35 32 11 53 66
"101" 1 1 1 7.6 -5 51 19 6 47
"102" 2 0 1 29.2 24 65 17 115 136
"103" 2 1 1 13.3 4 31 11 34 141
"104" 1 1 1 16.1 6 43 17 11 92
"105" 3 1 1 34.9 32 66 9 108 152
"106" 3 0 1 23.6 17 68 15 116 201
"107" 4 0 1 17 10 43 13 80 343
"108" 4 1 1 20.8 14 63 9 21 126
"109" 3 1 1 30.2 24 83 11 52 119
"110" 4 1 2 30.2 24 83 7 24 127
"111" 3 1 2 33 29 66 6 45 120
"112" 3 1 1 36.8 35 59 15 61 88
"113" 1 1 1 14.2 5 66 13 45 126
